impl,phase,n,gamma,threads,trial,ms,seed,offset,seed_index,key_mode,fastrange_mode
better-mphf,lookup,1024,1.150000,1,4,0.013040,4870315401550313391,11131921045574106320,0,multiplicative,mul64
boomphf-rust,build,2048,1.150000,1,0,0.122820,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,2048,1.150000,1,1,0.094770,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,2048,1.150000,1,2,0.072630,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,2048,1.150000,1,3,0.069380,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,2048,1.150000,1,4,0.064420,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,2048,1.150000,1,5,0.064070,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,2048,1.150000,1,6,0.064240,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,2048,1.150000,1,0,0.144510,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,2048,1.150000,1,1,0.095630,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,2048,1.150000,1,2,0.070630,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,2048,1.150000,1,3,0.064990,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,2048,1.150000,1,4,0.064360,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,2048,1.150000,1,0,1.572850,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,2048,1.150000,1,1,1.569750,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,2048,1.150000,1,2,1.570560,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,2048,1.150000,1,3,1.583000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,2048,1.150000,1,4,1.581260,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,2048,1.150000,1,5,1.561960,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,2048,1.150000,1,6,1.563880,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,2048,1.150000,1,0,0.152950,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,2048,1.150000,1,1,0.105690,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,2048,1.150000,1,2,0.087960,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,2048,1.150000,1,3,0.082750,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,2048,1.150000,1,4,0.081500,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,build,2048,1.150000,1,0,0.060740,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,2048,1.150000,1,1,0.053671,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,2048,1.150000,1,2,0.051580,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,2048,1.150000,1,3,0.055680,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,2048,1.150000,1,4,0.051069,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,2048,1.150000,1,5,0.050920,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,2048,1.150000,1,6,0.050940,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,2048,1.150000,1,0,0.131740,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,2048,1.150000,1,1,0.112930,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,2048,1.150000,1,2,0.070830,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,2048,1.150000,1,3,0.063440,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,2048,1.150000,1,4,0.062040,4870315401550313391,11131921045574106320,0,multiplicative,mul64
boomphf-rust,build,4096,1.150000,1,0,0.130940,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,4096,1.150000,1,1,0.105471,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,4096,1.150000,1,2,0.073380,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,4096,1.150000,1,3,0.065280,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,4096,1.150000,1,4,0.063149,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,4096,1.150000,1,5,0.064520,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,4096,1.150000,1,6,0.062249,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,4096,1.150000,1,0,0.134429,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,4096,1.150000,1,1,0.102189,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,4096,1.150000,1,2,0.076460,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,4096,1.150000,1,3,0.074240,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,4096,1.150000,1,4,0.065471,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,4096,1.150000,1,0,3.099470,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,4096,1.150000,1,1,2.909200,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,4096,1.150000,1,2,3.064390,4870315401550313391,11131921045574106320,0,multiplicative,na
