impl,phase,n,gamma,threads,trial,ms,seed,offset,seed_index,key_mode,fastrange_mode
better-mphf,space_bits_per_key,262144,1.350000,1,0,3.229004,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,524288,1.350000,1,0,1675520.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,524288,1.350000,1,0,3.195801,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,524288,1.350000,1,0,1679936.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,524288,1.350000,1,0,3.204224,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,1048576,1.350000,1,0,3345728.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,1048576,1.350000,1,0,3.190735,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,1048576,1.350000,1,0,3348608.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,1048576,1.350000,1,0,3.193481,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,2097152,1.350000,1,0,6685952.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,2097152,1.350000,1,0,3.188110,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,2097152,1.350000,1,0,6684800.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,2097152,1.350000,1,0,3.187561,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,512,1.500000,1,0,7680.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,512,1.500000,1,0,15.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,512,1.500000,1,0,6272.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,512,1.500000,1,0,12.250000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,1024,1.500000,1,0,9344.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,1024,1.500000,1,0,9.125000,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,1024,1.500000,1,0,10816.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,1024,1.500000,1,0,10.562500,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,2048,1.500000,1,0,12736.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,2048,1.500000,1,0,6.218750,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,2048,1.500000,1,0,13696.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,2048,1.500000,1,0,6.687500,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,4096,1.500000,1,0,19328.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,4096,1.500000,1,0,4.718750,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,4096,1.500000,1,0,20608.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,4096,1.500000,1,0,5.031250,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,8192,1.500000,1,0,32768.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,8192,1.500000,1,0,4.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,space_bits,8192,1.500000,1,0,33856.000000,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,space_bits_per_key,8192,1.500000,1,0,4.132812,4870315401550313391,11131921045574106320,0,multiplicative,mul64
bbhash-cpp,space_bits,16384,1.500000,1,0,59648.000000,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,space_bits_per_key,16384,1.500000,1,0,3.640625,4870315401550313391,11131921045574106320,0,multiplicative,na
