impl,phase,n,gamma,threads,trial,ms,seed,offset,seed_index,key_mode,fastrange_mode
boomphf-rust,build,2048,1.150000,1,3,0.077509,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,2048,1.150000,1,4,0.071500,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,2048,1.150000,1,5,0.071360,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,2048,1.150000,1,6,0.071770,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,2048,1.150000,1,0,0.150450,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,2048,1.150000,1,1,0.106700,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,2048,1.150000,1,2,0.078480,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,2048,1.150000,1,3,0.086710,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,2048,1.150000,1,4,0.071850,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,2048,1.150000,1,0,2.623939,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,2048,1.150000,1,1,2.890398,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,2048,1.150000,1,2,2.726239,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,2048,1.150000,1,3,2.738319,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,2048,1.150000,1,4,2.673379,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,2048,1.150000,1,5,2.556148,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,2048,1.150000,1,6,2.548258,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,2048,1.150000,1,0,0.168500,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,2048,1.150000,1,1,0.116560,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,2048,1.150000,1,2,0.096790,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,2048,1.150000,1,3,0.091090,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,2048,1.150000,1,4,0.089800,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,build,2048,1.150000,1,0,0.071840,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,build,2048,1.150000,1,1,0.062980,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,build,2048,1.150000,1,2,0.060240,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,build,2048,1.150000,1,3,0.064510,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,build,2048,1.150000,1,4,0.060230,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,build,2048,1.150000,1,5,0.060250,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,build,2048,1.150000,1,6,0.059950,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,lookup,2048,1.150000,1,0,0.122660,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,lookup,2048,1.150000,1,1,0.117890,4870315401550313391,11131921045574106320,0,multiplicative,low32
